Lead Origin,Lead Source,Do Not Email,Do Not Call,TotalVisits,Total Time Spent on Website,Page Views Per Visit,What is your current occupation,Lead Quality,Asymmetrique Activity Score,Asymmetrique Profile Score,Last Notable Activity,Converted,Prob_Score
Landing Page Submission,Direct Traffic,No,No,1,212,1,Unemployed,Worst,16,16,Modified,0,3.595828979
Landing Page Submission,Direct Traffic,No,No,4,241,2,Unemployed,Worst,10,18,Email Opened,0,5.972032298
Landing Page Submission,Organic Search,No,No,29,286,14.5,Unemployed,Not Sure,16,17,Email Opened,0,6.110001449
Landing Page Submission,Direct Traffic,Yes,No,8,346,8,Unemployed,High in Relevance,14,18,SMS Sent,1,33.97058181
Landing Page Submission,Direct Traffic,No,No,4,67,2,Unemployed,Might be,12,15,SMS Sent,0,67.27417395
Landing Page Submission,Direct Traffic,No,No,2,206,2,Unemployed,Unkown,15,14,Email Opened,0,9.721603298
Landing Page Submission,Organic Search,Yes,No,6,124,2,Unemployed,Worst,16,14,Page Visited on Website,0,5.778198394
Landing Page Submission,Social Media,No,No,3,164,3,Unemployed,Not Sure,15,12,Modified,0,4.820665839
Landing Page Submission,Google,No,No,3,344,3,Unknown,Unkown,14,18,Modified,0,3.973522571
Landing Page Submission,Direct Traffic,No,No,2,900,2,Working Professional,Might be,15,14,Modified,1,83.96070353
Landing Page Submission,Google,No,No,4,1370,4,Unemployed,Unkown,15,16,Email Opened,0,53.29267827
Landing Page Submission,Direct Traffic,No,No,2,44,2,Unemployed,Worst,16,17,Email Opened,0,6.05834752
API,Organic Search,No,No,2,598,2,Unknown,Unkown,15,15,Modified,0,12.70702817
Landing Page Submission,Direct Traffic,Yes,No,1,137,1,Unemployed,Not Sure,15,18,Modified,0,1.292129142
Landing Page Submission,Direct Traffic,No,No,2,205,2,Unknown,Unkown,14,18,Modified,0,2.244321672
Landing Page Submission,Direct Traffic,No,No,7,313,7,Unemployed,Might be,14,15,SMS Sent,0,70.4845683
Landing Page Submission,Google,No,No,2,63,2,Unemployed,Unkown,14,18,Modified,0,4.170416622
Landing Page Submission,Organic Search,No,No,7,96,7,Unemployed,Unkown,15,18,SMS Sent,0,27.82314959
Landing Page Submission,Direct Traffic,No,No,4,158,1.33,Unemployed,Not Sure,14,14,Page Visited on Website,0,5.878933057
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,17,15,Olark Chat Conversation,0,14.44219826
Landing Page Submission,Google,Yes,No,1,1936,1,Unemployed,Might be,13,18,Email Bounced,0,92.45835789
Landing Page Submission,Direct Traffic,No,No,2,742,2,Unemployed,Worst,11,15,Email Opened,0,14.46185284
Landing Page Submission,Google,No,No,3,1015,3,Unemployed,Unkown,15,17,Modified,1,19.86399862
Landing Page Submission,Direct Traffic,No,No,2,61,2,Unemployed,Unkown,14,18,SMS Sent,0,24.51010805
API,Google,No,No,2,1122,2,Unemployed,Unkown,15,15,SMS Sent,1,87.22704362
API,Google,Yes,No,2,1465,2,Unemployed,Unkown,13,15,SMS Sent,1,85.25426732
API,Direct Traffic,No,No,9,1448,1.8,Unemployed,Unkown,14,16,Email Opened,1,66.74876372
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,17,15,Modified,0,6.98678892
API,Google,No,No,2,1261,1,Unemployed,Unkown,16,15,SMS Sent,1,91.21892091
Lead Add Form,Reference,Yes,No,0,0,0,Unemployed,Might be,14,17,Modified,1,80.4865068
Landing Page Submission,Direct Traffic,No,No,2,404,2,Unknown,Unkown,14,16,SMS Sent,0,27.69291351
Lead Add Form,Reference,No,No,0,0,0,Unemployed,High in Relevance,15,18,Email Opened,1,90.50720813
Landing Page Submission,Direct Traffic,No,No,3,431,3,Unemployed,Low in Relevance,13,16,Email Opened,0,51.05612719
API,Google,No,No,2,67,2,Unemployed,Unkown,15,15,SMS Sent,1,49.8186384
Landing Page Submission,Direct Traffic,No,No,2,1119,2,Unemployed,Worst,16,17,Email Opened,0,31.5130827
Landing Page Submission,Organic Search,No,No,13,954,4.33,Unemployed,Not Sure,16,17,Modified,1,14.62062566
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,16,15,SMS Sent,1,56.37999169
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,17,15,Modified,0,6.98678892
Landing Page Submission,Direct Traffic,No,No,3,286,3,Unemployed,Not Sure,15,16,Modified,0,2.821963015
Landing Page Submission,Direct Traffic,No,No,6,721,1.5,Unemployed,High in Relevance,15,18,Modified,1,25.361701
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,15,15,Email Opened,1,21.54206518
API,Direct Traffic,No,No,7,653,1.75,Unknown,Unkown,13,15,Page Visited on Website,0,19.53720871
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,17,15,Modified,0,6.98678892
Lead Add Form,Reference,No,No,3,347,2,Unemployed,Might be,13,19,Modified,0,92.28365529
API,Olark Chat,No,No,6,1094,2,Unemployed,Unkown,15,15,SMS Sent,1,89.17006426
Lead Add Form,Reference,No,No,1,790,1,Unemployed,Might be,14,19,SMS Sent,1,99.71155269
Landing Page Submission,Direct Traffic,Yes,No,6,15,6,Unemployed,Not Sure,12,18,SMS Sent,0,6.134086393
Landing Page Submission,Google,No,No,4,99,4,Unemployed,Unkown,10,18,Modified,0,2.945172136
Landing Page Submission,Google,No,No,9,1339,3,Working Professional,Might be,14,18,Modified,1,94.24054976
Lead Add Form,Reference,No,No,0,0,0,Working Professional,Might be,14,19,SMS Sent,1,99.78620899
API,Organic Search,No,No,7,1379,3.5,Unemployed,Unkown,13,15,Email Opened,0,67.81976832
Landing Page Submission,Organic Search,No,No,9,986,9,Unemployed,Might be,15,17,SMS Sent,1,91.85176874
API,Google,No,No,3,1152,3,Unemployed,Unkown,15,15,Email Link Clicked,0,60.39330825
Lead Add Form,Reference,No,No,0,0,0,Working Professional,Might be,15,19,SMS Sent,1,99.80004677
Landing Page Submission,Google,No,No,3,1283,3,Unemployed,Might be,15,20,SMS Sent,1,96.71695522
Lead Add Form,Reference,No,No,3,123,2,Working Professional,Might be,13,19,Modified,0,97.67360439
Lead Add Form,Reference,No,No,0,0,0,Working Professional,Might be,14,19,SMS Sent,1,99.78620899
Lead Add Form,Reference,No,No,0,0,0,Working Professional,Might be,14,19,SMS Sent,1,99.78620899
Lead Add Form,Reference,No,No,3,711,2,Working Professional,Might be,13,19,Modified,0,99.19349595
Landing Page Submission,Direct Traffic,Yes,No,2,124,2,Unemployed,Worst,13,17,SMS Sent,0,12.20209294
Lead Add Form,Reference,No,No,0,0,0,Working Professional,Might be,15,19,SMS Sent,1,99.80004677
Lead Add Form,Reference,No,No,0,0,0,Working Professional,Might be,14,19,SMS Sent,1,99.78620899
Landing Page Submission,Google,No,No,3,1191,3,Unemployed,Low in Relevance,15,19,Email Opened,1,87.48875265
Lead Add Form,Reference,No,No,0,0,0,Working Professional,Might be,14,19,Modified,0,97.6302413
Lead Add Form,Reference,No,No,3,1208,2,Working Professional,High in Relevance,14,19,Modified,1,99.3073439
API,Direct Traffic,No,No,3,94,3,Unemployed,Unkown,13,15,Modified,0,4.686184067
Lead Add Form,Reference,No,No,0,0,0,Working Professional,High in Relevance,14,19,Modified,1,94.76582244
Landing Page Submission,Direct Traffic,No,No,2,289,2,Unemployed,Might be,14,18,SMS Sent,0,76.62382442
API,Organic Search,No,No,2,306,1,Unemployed,Unkown,15,15,SMS Sent,1,63.41022455
Lead Add Form,Reference,No,No,0,0,0,Unemployed,Might be,14,19,Email Opened,1,95.25041224
Lead Add Form,Reference,No,No,3,1028,2,Working Professional,Might be,13,19,Modified,0,99.54658103
Lead Add Form,Reference,No,No,0,0,0,Working Professional,Might be,14,19,SMS Sent,1,99.78620899
Lead Add Form,Reference,No,No,3,341,2,Working Professional,High in Relevance,14,19,Modified,1,96.70942446
Lead Add Form,Reference,No,No,0,0,0,Unemployed,Might be,14,19,SMS Sent,1,98.87996959
Lead Add Form,Reference,No,No,0,0,0,Working Professional,Might be,14,18,SMS Sent,1,99.78866756
Lead Add Form,Reference,No,No,3,1650,2,Working Professional,High in Relevance,14,19,Modified,1,99.69003906
Lead Add Form,Reference,Yes,No,0,0,0,Working Professional,Might be,14,16,Modified,1,95.66366899
Lead Add Form,Reference,No,No,0,0,0,Unemployed,Might be,15,19,Modified,0,89.285277
Lead Add Form,Reference,No,No,0,0,0,Working Professional,Might be,14,18,SMS Sent,1,99.78866756
Lead Add Form,Welingak Website,No,No,0,0,0,Unemployed,Unkown,14,15,SMS Sent,1,90.834866
Lead Add Form,Reference,No,No,0,0,0,Unemployed,Might be,14,19,SMS Sent,1,98.87996959
Lead Add Form,Reference,No,No,0,0,0,Working Professional,High in Relevance,15,19,Modified,1,95.08861479
Lead Add Form,Reference,No,No,3,1203,2,Working Professional,Might be,14,19,Modified,1,99.69161926
Lead Add Form,Reference,No,No,0,0,0,Working Professional,Might be,14,19,Email Opened,1,99.06565003
Landing Page Submission,Direct Traffic,No,No,1,1463,1,Unemployed,Might be,15,19,Modified,1,73.89072127
Landing Page Submission,Organic Search,Yes,No,7,166,7,Unemployed,Not Sure,9,16,Modified,0,0.900931757
Lead Add Form,Reference,No,No,0,0,0,Unemployed,Might be,14,19,Modified,1,88.62669027
Lead Add Form,Reference,No,No,1,1486,1,Unemployed,Might be,14,19,Page Visited on Website,1,99.6129888
Lead Add Form,Reference,No,No,0,0,0,Working Professional,Might be,14,19,Email Opened,1,99.06565003
Lead Add Form,Reference,No,No,0,0,0,Working Professional,Might be,14,18,SMS Sent,1,99.78866756
Lead Add Form,Reference,No,No,0,0,0,Working Professional,Might be,14,19,SMS Sent,1,99.78620899
Lead Add Form,Reference,No,No,0,0,0,Working Professional,Might be,14,18,SMS Sent,1,99.78866756
Landing Page Submission,Organic Search,No,No,11,378,3.67,Unemployed,Not Sure,15,16,Page Visited on Website,0,12.06368118
Lead Add Form,Google,No,No,0,0,0,Working Professional,Might be,14,16,Email Opened,1,97.07358407
API,Organic Search,No,No,2,1468,2,Unknown,Unkown,14,15,Modified,1,40.0377526
API,Organic Search,No,No,2,1064,2,Unemployed,Unkown,14,15,SMS Sent,1,85.44585942
Landing Page Submission,Direct Traffic,No,No,3,1077,3,Unemployed,Unkown,14,16,Email Opened,0,30.87968127
Landing Page Submission,Google,No,No,4,794,4,Unemployed,Might be,13,18,SMS Sent,1,90.88087541
Lead Add Form,Reference,No,No,3,1201,2,Unemployed,Not Sure,13,18,Modified,0,85.18960207
Lead Add Form,Reference,No,No,0,0,0,Working Professional,Might be,14,18,SMS Sent,1,99.78866756
Lead Add Form,Reference,No,No,0,0,0,Working Professional,Might be,14,18,Email Opened,1,99.07631825
API,Google,No,No,13,1725,3.25,Unemployed,Unkown,15,15,Email Opened,1,83.62254075
Lead Add Form,Reference,No,No,0,0,0,Working Professional,Might be,14,19,SMS Sent,1,99.78620899
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,13,15,Modified,0,8.533672061
Lead Add Form,Welingak Website,No,No,0,0,0,Unemployed,Might be,14,17,Email Opened,1,93.60577457
Lead Add Form,Reference,No,No,0,0,0,Working Professional,High in Relevance,14,19,Modified,1,94.76582244
Landing Page Submission,Google,No,No,5,1230,5,Unemployed,Might be,14,15,SMS Sent,0,95.7665609
Lead Add Form,Reference,No,No,0,0,0,Working Professional,Might be,14,19,SMS Sent,1,99.78620899
Lead Add Form,Reference,No,No,3,903,2,Working Professional,Might be,14,19,Modified,1,99.46756735
Lead Add Form,Reference,No,No,0,0,0,Working Professional,Might be,14,19,SMS Sent,1,99.78620899
API,Organic Search,No,No,2,189,1,Unknown,Unkown,17,15,Modified,0,8.000543274
Lead Add Form,Reference,Yes,No,0,0,0,Unemployed,Might be,14,19,Email Marked Spam,1,92.04616778
Landing Page Submission,Direct Traffic,No,No,1,1102,1,Working Professional,Low in Relevance,15,17,Modified,1,90.63092437
Lead Add Form,Reference,No,No,0,0,0,Working Professional,Might be,14,19,SMS Sent,1,99.78620899
Lead Add Form,Reference,No,No,0,0,0,Working Professional,Might be,14,19,Modified,1,97.6302413
Landing Page Submission,Direct Traffic,No,No,5,1399,1.67,Unemployed,Worst,14,16,Modified,0,22.40964665
Lead Add Form,Reference,No,No,0,0,0,Working Professional,Might be,14,19,Email Opened,1,99.06565003
Landing Page Submission,Direct Traffic,No,No,3,451,3,Unemployed,Not Sure,13,18,SMS Sent,0,27.53967971
Lead Add Form,Reference,No,No,0,0,0,Working Professional,Might be,14,19,Modified,1,97.6302413
Lead Add Form,Google,No,No,0,0,0,Working Professional,Might be,14,17,SMS Sent,1,99.31197688
Landing Page Submission,Google,No,No,6,544,6,Unknown,Unkown,14,18,Modified,0,4.493329476
Lead Add Form,Welingak Website,No,No,1,1232,1,Unemployed,Might be,16,17,Page Visited on Website,1,99.26498707
Landing Page Submission,Direct Traffic,No,No,3,15,3,Unemployed,Unkown,14,15,Email Opened,0,6.091690424
Landing Page Submission,Direct Traffic,Yes,No,2,365,2,Unemployed,Worst,14,13,Unsubscribed,0,5.639179075
API,Direct Traffic,No,No,4,1761,4,Unemployed,Unkown,16,15,SMS Sent,1,92.98272495
Landing Page Submission,Organic Search,Yes,No,6,453,6,Unemployed,Not Sure,13,14,SMS Sent,0,20.13335035
API,Olark Chat,No,No,11,8,1.38,Unemployed,Unkown,15,16,Email Opened,0,22.91332377
API,Organic Search,No,No,6,122,2,Unknown,Unkown,15,15,Olark Chat Conversation,0,12.89344494
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,14,15,Modified,0,9.071820326
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,14,15,SMS Sent,0,53.0584302
Landing Page Submission,Direct Traffic,No,No,7,961,1.75,Unemployed,Might be,14,16,SMS Sent,0,92.82216492
Landing Page Submission,Direct Traffic,No,No,2,979,2,Unknown,Unkown,14,17,Email Opened,1,19.74369285
Landing Page Submission,Direct Traffic,Yes,No,2,2,2,Unemployed,Unkown,12,18,Unsubscribed,0,3.154975371
Landing Page Submission,Google,No,No,3,60,3,Unemployed,Not Sure,10,17,Modified,0,2.013429208
Landing Page Submission,Direct Traffic,No,No,6,147,6,Unemployed,Unkown,14,16,Email Opened,0,6.048814352
Landing Page Submission,Organic Search,No,No,3,491,3,Unemployed,Not Sure,14,18,SMS Sent,0,40.34149255
Landing Page Submission,Direct Traffic,Yes,No,2,913,2,Unknown,Unkown,13,16,SMS Sent,0,31.95676942
API,Google,No,No,2,726,2,Unemployed,Unkown,13,15,Email Opened,0,39.67863848
Landing Page Submission,Direct Traffic,Yes,No,2,165,2,Unemployed,Not Sure,14,17,Modified,0,1.19002335
Landing Page Submission,Referral Sites,No,No,3,605,3,Working Professional,Low in Relevance,14,12,Modified,0,85.9962424
API,Google,No,No,2,36,2,Unemployed,Unkown,14,15,Email Opened,0,16.61624073
Landing Page Submission,Direct Traffic,No,No,1,55,1,Unemployed,Worst,16,18,Modified,0,2.662449785
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,15,15,Email Opened,0,21.54206518
Landing Page Submission,Organic Search,No,No,4,345,4,Unemployed,Low in Relevance,12,16,Email Opened,0,54.36167453
Landing Page Submission,Direct Traffic,No,No,8,1483,2.67,Unknown,Unkown,13,18,Page Visited on Website,0,35.54735966
Landing Page Submission,Direct Traffic,No,No,2,70,2,Unemployed,Low in Relevance,14,16,Email Link Clicked,1,38.59263399
Landing Page Submission,Direct Traffic,No,No,2,158,2,Unemployed,Unkown,13,17,SMS Sent,0,26.83383618
Landing Page Submission,Organic Search,No,No,14,1822,7,Unemployed,Not Sure,16,18,SMS Sent,1,88.02117531
Landing Page Submission,Organic Search,No,No,6,1806,2,Unknown,Unkown,14,18,Modified,0,41.71442662
Landing Page Submission,Direct Traffic,No,No,1,109,1,Unemployed,Not Sure,16,17,Modified,0,2.535625159
Landing Page Submission,Direct Traffic,Yes,No,1,100,1,Unemployed,Unkown,15,15,Modified,0,1.871612326
API,Google,No,No,2,1096,2,Unknown,Unkown,15,15,Modified,1,26.13981611
Landing Page Submission,Direct Traffic,No,No,2,24,2,Unemployed,Unkown,14,18,SMS Sent,0,23.28039648
Landing Page Submission,Organic Search,Yes,No,4,203,4,Unemployed,Worst,13,18,Modified,0,1.816082604
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,16,15,Modified,0,6.563398607
Landing Page Submission,Direct Traffic,No,No,2,404,2,Unknown,Unkown,16,18,Email Opened,0,8.859443116
Landing Page Submission,Direct Traffic,No,No,2,228,2,Unemployed,Not Sure,12,14,Modified,0,2.311155355
Landing Page Submission,Direct Traffic,Yes,No,5,210,2.5,Unemployed,Unkown,10,18,Email Opened,0,3.719842309
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,15,15,Email Link Clicked,0,14.54786585
API,Olark Chat,No,No,0,0,0,Unemployed,Low in Relevance,15,15,Modified,1,46.45692202
Landing Page Submission,Direct Traffic,No,No,2,465,2,Unemployed,Worst,15,18,Email Opened,0,11.40185879
Landing Page Submission,Organic Search,No,No,4,367,4,Unemployed,Not Sure,14,18,SMS Sent,0,33.24805889
Landing Page Submission,Google,No,No,3,1391,3,Unknown,Unkown,13,17,SMS Sent,1,75.04041179
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,17,15,Olark Chat Conversation,0,14.44219826
Landing Page Submission,Direct Traffic,No,No,2,886,2,Unemployed,Might be,13,17,SMS Sent,0,90.22947924
Landing Page Submission,Google,No,No,4,692,4,Unemployed,Low in Relevance,14,19,Email Opened,1,70.81949183
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,17,15,Modified,0,6.98678892
API,Organic Search,No,No,6,94,6,Unemployed,Unkown,11,15,Modified,0,4.983625184
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,17,15,Email Opened,0,16.19985219
Landing Page Submission,Organic Search,No,No,13,246,6.5,Unemployed,Unkown,16,13,SMS Sent,0,40.39025576
Landing Page Submission,Google,No,No,4,166,4,Unemployed,Not Sure,13,16,SMS Sent,0,24.41309782
Landing Page Submission,Direct Traffic,No,No,5,286,5,Unemployed,Might be,11,18,Modified,0,15.65593269
Landing Page Submission,Direct Traffic,No,No,7,1100,2.33,Unemployed,Unkown,16,15,Olark Chat Conversation,1,35.1917508
Lead Add Form,Reference,Yes,No,0,0,0,Unemployed,Unkown,14,17,SMS Sent,0,87.53407028
Landing Page Submission,Google,Yes,No,4,1269,2,Working Professional,High in Relevance,14,20,Modified,1,76.21094646
Lead Add Form,Reference,No,No,0,0,0,Unemployed,Unkown,14,17,SMS Sent,0,93.13996899
API,Google,No,No,2,783,2,Unemployed,Unkown,14,15,Email Opened,1,43.84072507
API,Organic Search,No,No,2,348,1,Unemployed,Not Sure,15,15,Modified,0,9.885475725
Landing Page Submission,Google,No,No,3,1029,3,Unemployed,Might be,15,18,SMS Sent,1,94.98798387
Landing Page Submission,Google,No,No,6,617,6,Unemployed,Not Sure,15,18,SMS Sent,0,41.26565976
Landing Page Submission,Google,No,No,24,338,8,Unknown,Unkown,15,18,Modified,0,3.857425086
Lead Add Form,Reference,No,No,0,0,0,Unemployed,Unkown,14,17,SMS Sent,0,93.13996899
Lead Add Form,Reference,No,No,0,0,0,Unemployed,Unkown,14,17,SMS Sent,0,93.13996899
Landing Page Submission,Direct Traffic,No,No,1,40,1,Unemployed,Worst,14,18,Modified,0,2.27436063
Lead Add Form,Reference,Yes,No,0,0,0,Unemployed,Unkown,13,17,SMS Sent,0,86.78377758
Landing Page Submission,Google,No,No,3,1396,3,Unemployed,Might be,14,17,SMS Sent,1,97.22746173
API,Organic Search,No,No,2,35,1,Unemployed,Unkown,14,15,Modified,0,8.017682113
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,17,15,Email Opened,0,16.19985219
Lead Add Form,Reference,No,No,0,0,0,Unemployed,Unkown,14,17,SMS Sent,0,93.13996899
Landing Page Submission,Direct Traffic,No,No,4,62,4,Unemployed,Worst,11,17,Email Opened,0,3.910005239
Landing Page Submission,Organic Search,No,No,19,265,3.8,Unemployed,High in Relevance,14,18,Had a Phone Conversation,1,39.08370207
Lead Add Form,Reference,No,No,0,0,0,Unemployed,Unkown,14,17,SMS Sent,0,93.13996899
Lead Add Form,Reference,No,No,0,0,0,Unemployed,Unkown,14,17,Email Opened,0,75.5153972
Landing Page Submission,Direct Traffic,No,No,2,909,2,Unemployed,Not Sure,14,18,Modified,0,8.23004439
Lead Add Form,Reference,No,No,0,0,0,Unemployed,Unkown,14,17,SMS Sent,0,93.13996899
Lead Add Form,Reference,No,No,0,0,0,Unemployed,Unkown,14,17,SMS Sent,0,93.13996899
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,14,15,SMS Sent,0,53.0584302
API,Organic Search,No,No,2,228,1,Unknown,Unkown,16,15,Email Opened,0,18.35091347
Landing Page Submission,Organic Search,No,No,10,1250,10,Unemployed,Not Sure,16,17,SMS Sent,1,64.29813567
Lead Add Form,Reference,No,No,0,0,0,Unemployed,Unkown,14,17,SMS Sent,0,93.13996899
Lead Add Form,Reference,No,No,0,0,0,Unemployed,Unkown,14,17,SMS Sent,0,93.13996899
API,Google,No,No,2,1570,1,Unemployed,Unkown,12,15,Modified,0,55.22786638
Landing Page Submission,Direct Traffic,No,No,2,1266,2,Unemployed,Worst,15,18,Modified,0,17.77785386
Landing Page Submission,Direct Traffic,No,No,3,810,1.5,Unemployed,Worst,16,18,Email Link Clicked,0,21.80312606
API,Direct Traffic,Yes,No,25,269,1.19,Unknown,Unkown,14,16,Page Visited on Website,0,8.954042471
Lead Add Form,Reference,No,No,0,0,0,Unemployed,Unkown,14,17,SMS Sent,0,93.13996899
Lead Add Form,Reference,No,No,0,0,0,Unemployed,Unkown,14,17,SMS Sent,0,93.13996899
API,Organic Search,No,No,6,440,6,Unknown,Unkown,15,15,Email Link Clicked,0,17.08111254
Lead Add Form,Reference,No,No,0,0,0,Unemployed,Unkown,14,17,Email Opened,0,75.5153972
API,Organic Search,No,No,2,1075,2,Unknown,Unkown,15,15,Email Opened,1,47.25484647
Landing Page Submission,Direct Traffic,No,No,2,151,2,Unemployed,Unkown,14,17,SMS Sent,0,27.91240755
Landing Page Submission,Google,No,No,4,1280,2,Working Professional,Low in Relevance,14,16,Modified,1,94.84782097
API,Olark Chat,No,No,0,0,0,Unemployed,Low in Relevance,15,14,SMS Sent,1,90.86297082
API,Organic Search,No,No,1,276,1,Unknown,Unkown,16,15,Modified,0,8.552237014
Landing Page Submission,Google,No,No,4,1264,4,Working Professional,High in Relevance,14,18,Modified,1,83.76700162
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,15,15,Modified,0,6.163964919
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,17,15,Modified,0,6.98678892
API,Google,No,No,7,35,1.4,Unknown,Unkown,14,16,Page Visited on Website,0,11.49501207
Landing Page Submission,Google,No,No,4,229,4,Unemployed,Might be,15,16,SMS Sent,0,80.5917894
Landing Page Submission,Organic Search,No,No,14,1338,14,Unknown,Unkown,16,17,Email Opened,1,24.50982128
Landing Page Submission,Direct Traffic,No,No,7,247,1.75,Unemployed,Unkown,17,16,Page Visited on Website,1,11.84943058
Landing Page Submission,Google,No,No,5,1388,5,Unemployed,High in Relevance,15,18,SMS Sent,1,93.19976673
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,16,15,Email Opened,0,15.31005886
API,Olark Chat,No,No,0,0,0,Unemployed,Worst,15,14,Modified,0,7.762222523
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,17,15,Email Link Clicked,0,16.29549892
Landing Page Submission,Google,No,No,5,752,2.5,Unknown,Unkown,14,18,Email Opened,1,19.68381147
Landing Page Submission,Google,No,No,4,2,2,Unemployed,Might be,13,17,Modified,1,20.30033103
API,Google,No,No,3,1288,3,Unemployed,Not Sure,14,18,Email Opened,1,53.80171982
Landing Page Submission,Google,No,No,2,205,2,Unemployed,Might be,14,18,SMS Sent,0,80.96497188
API,Organic Search,No,No,6,147,6,Working Professional,Might be,15,15,Email Opened,1,87.24802498
Landing Page Submission,Organic Search,No,No,9,1105,2.25,Working Professional,Low in Relevance,14,20,Email Opened,1,97.30271139
Landing Page Submission,Direct Traffic,Yes,No,42,1148,3.82,Unemployed,Worst,14,14,Modified,0,13.76208389
Landing Page Submission,Organic Search,No,No,5,31,5,Unemployed,Unkown,14,16,SMS Sent,0,27.73198459
API,Organic Search,No,No,5,311,1.25,Unknown,Unkown,17,15,Page Visited on Website,0,20.98559921
Landing Page Submission,Google,No,No,2,1227,1,Unknown,Unkown,13,18,Modified,1,18.83802862
Landing Page Submission,Direct Traffic,No,No,2,86,2,Unemployed,Might be,15,18,Email Opened,1,35.45910396
Landing Page Submission,Direct Traffic,No,No,1,125,1,Unemployed,Not Sure,15,18,Modified,1,2.416364833
Landing Page Submission,Google,No,No,6,693,3,Unknown,Unkown,15,16,Modified,0,8.325127066
Landing Page Submission,Direct Traffic,No,No,1,944,1,Unemployed,Unkown,15,17,Modified,1,14.42358388
Landing Page Submission,Direct Traffic,No,No,2,1451,2,Unemployed,Worst,14,15,Email Opened,0,43.03797993
Landing Page Submission,Google,No,No,3,1381,3,Unemployed,High in Relevance,14,20,SMS Sent,1,93.54083392
Landing Page Submission,Direct Traffic,No,No,2,1135,2,Unknown,Unkown,14,13,Modified,0,11.75164933
Landing Page Submission,Direct Traffic,No,No,3,181,3,Unemployed,Might be,13,16,SMS Sent,0,70.40866138
Landing Page Submission,Direct Traffic,No,No,2,1130,2,Working Professional,Low in Relevance,14,17,Email Opened,1,95.76991044
Landing Page Submission,Direct Traffic,No,No,2,1522,2,Working Professional,Might be,14,20,SMS Sent,1,99.38372448
Landing Page Submission,Direct Traffic,No,No,3,130,3,Unknown,Unkown,13,18,Email Opened,0,4.261506395
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,17,15,Email Opened,0,16.19985219
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,14,15,Email Opened,0,20.43038243
Landing Page Submission,Direct Traffic,No,No,2,383,2,Unemployed,Worst,13,18,Email Opened,0,8.831932346
API,Olark Chat,Yes,No,0,0,0,Unemployed,Might be,15,14,SMS Sent,1,80.80074165
Landing Page Submission,Direct Traffic,No,No,7,340,2.33,Unemployed,Not Sure,14,18,SMS Sent,0,27.68258708
Landing Page Submission,Organic Search,No,No,5,157,5,Unknown,Unkown,14,18,Modified,0,2.501284961
Landing Page Submission,Direct Traffic,No,No,1,438,1,Unemployed,Worst,11,18,Modified,0,3.790166724
API,Organic Search,Yes,No,11,251,1.83,Unknown,Unkown,14,16,Olark Chat Conversation,0,9.116222692
Landing Page Submission,Organic Search,No,No,5,288,2.5,Unemployed,Unkown,14,17,Email Opened,0,14.98409041
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,15,15,Modified,0,9.640328329
Landing Page Submission,Direct Traffic,No,No,9,767,2.25,Unemployed,Might be,13,20,SMS Sent,1,88.90459871
API,Olark Chat,Yes,No,0,0,0,Unknown,Unkown,15,15,Modified,0,3.285668783
Landing Page Submission,Direct Traffic,No,No,3,127,3,Working Professional,Might be,15,20,SMS Sent,1,92.56083052
Landing Page Submission,Direct Traffic,No,No,6,272,3,Unknown,Unkown,14,18,Modified,0,2.477475974
Landing Page Submission,Direct Traffic,No,No,2,351,2,Unemployed,Worst,15,18,Modified,0,3.901534692
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,16,15,Modified,0,6.563398607
Landing Page Submission,Direct Traffic,No,No,3,1102,3,Working Professional,Low in Relevance,15,18,Email Opened,1,95.45634114
Landing Page Submission,Organic Search,No,No,4,1544,2,Unemployed,High in Relevance,15,20,Email Opened,1,84.49222533
Landing Page Submission,Direct Traffic,No,No,2,141,2,Student,Worst,15,16,Modified,0,4.121983963
Landing Page Submission,Direct Traffic,No,No,1,12,1,Unknown,Unkown,16,16,Modified,0,2.002604724
